"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","928.25","928.25","928.25","928.25","0.04K","0.30%"
"06/03/2025","925.50","925.50","925.50","925.50","","1.54%"
"06/02/2025","911.50","911.50","911.50","911.50","","0.83%"
"05/30/2025","904.00","904.00","904.00","904.00","","0.22%"
"05/29/2025","902.00","902.00","902.00","902.00","","-0.19%"
"05/28/2025","903.75","903.75","903.75","903.75","","-0.03%"
"05/27/2025","904.00","904.00","904.00","904.00","","1.66%"
"05/23/2025","889.25","889.25","889.25","889.25","","-1.06%"
"05/22/2025","898.75","898.75","898.75","898.75","","-0.50%"
"05/21/2025","903.25","903.25","903.25","903.25","","-0.03%"
"05/20/2025","903.50","903.50","903.50","903.50","","0.03%"
"05/19/2025","903.25","903.25","903.25","903.25","","0.89%"
"05/16/2025","895.25","895.25","895.25","895.25","","-0.31%"
"05/15/2025","898.00","898.00","898.00","898.00","","-0.64%"
"05/14/2025","903.75","903.75","903.75","903.75","","0.70%"
"05/13/2025","897.50","897.50","897.50","897.50","","0.98%"
"05/12/2025","888.75","888.75","888.75","888.75","","0.00%"
"05/09/2025","888.75","888.75","888.75","888.75","","-0.67%"
"05/08/2025","894.75","894.75","894.75","894.75","","1.19%"
"05/07/2025","884.25","884.25","884.25","884.25","","-1.37%"
"05/06/2025","896.50","896.50","896.50","896.50","","-1.46%"
"05/05/2025","909.75","909.75","909.75","909.75","0.04K","0.89%"
"05/02/2025","901.75","901.75","901.75","901.75","","-1.39%"
"05/01/2025","914.50","914.50","914.50","914.50","","-1.77%"
"04/30/2025","931.00","931.00","931.00","931.00","","-0.03%"
"04/29/2025","931.25","931.25","931.25","931.25","","0.05%"
"04/28/2025","930.75","930.75","930.75","930.75","","-0.32%"
"04/25/2025","933.75","933.75","933.75","933.75","","0.16%"
"04/24/2025","932.25","932.25","932.25","932.25","","0.08%"
"04/23/2025","931.50","931.50","931.50","931.50","","0.32%"
"04/22/2025","928.50","928.50","928.50","928.50","","0.54%"
"04/21/2025","923.50","923.50","923.50","923.50","","-0.78%"
"04/17/2025","930.75","930.75","930.75","930.75","","-0.03%"
"04/16/2025","931.00","931.00","931.00","931.00","","-0.45%"
"04/15/2025","935.25","935.25","935.25","935.25","","-0.64%"
